Personal Pronouns,M,F,N,M,F,N,Demonstrative Pronoun Uses,,
,,,,,,,Adjectival,Substantival,(Personal) Pronoun
Nom S,οὑτος,αὑτη,τουτο,ἐκεινος,ἐκεινη,ἐκεινο,agreeing noun,no agreeing noun,referent/antecedent
Gen S,τουτου,ταυτης,τουτου,ἐκεινου,ἐκεινης,ἐκεινου,"predicate position
(no article preceding pronoun)",οὑτος,he/she/it/they
Dat S,τουτῳ,ταυτῃ,τουτῳ,ἐκεινῳ,ἐκεινῃ,ἐκεινῳ,οὑτος ὁ ἀυθρωπος,this man,
Acc S,τουτον,ταυτην,τουτο,ἐκεινον,ἐκεινην,ἐκεινο,this man,αὑτη,
Nom Pl,οὑτοι,αὑται,ταυτα,ἐκεινοι,ἐκειναι,ἐκεινα,εκεινος ὁ ἀνθρωπος,this woman,
Gen Pl,τουτων,τουτων,τουτων,ἐκεινων,ἐκεινων,ἐκεινων,that man,εκεινο,
Dat Pl,τουτοις,ταυταις,τουτοις,ἐκεινοις,ἐκειναις,ἐκεινοις,,that one/thing,
Acc Pl,τουτους,ταυτην,ταυτα,ἐκεινους,ἐκεινας,ἐκεινα,,,
Extra:,,this,,,that,,,,