Data Type,Adjective (A),Adverb (B),Conjunction (C),Interjection (I),Particle (L),Noun (N),Preposition (P),Pronoun (R),Article (T),Verb (V),Indeclinable (X)
int,Key,Key,Key,Key,Key,Key,Key,Key,Key,Key,Key
text (1),POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS
text (unicode),Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form,Dictionary Form
text,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration,Transliteration
text,Translation,Translation,Translation,Translation,Translation,Translation,Translation,Translation,Translation,Translation,Translation
text,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags,Special Tags
int (FK),Linked to,Linked to,Linked to,Linked to,Linked to,Linked to,Linked to,Linked to,Linked to,Linked to,Linked to
text,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic,Mnemonic
int,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter,Chapter
int,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset,Difficulty Preset
,,,,,,,,,,,
text,Type,Type,Type,Type,Type,Declension,Type (#Cases),Type,Type,Type,Type
text (unicode),"StemType (Constant,ειρ,twoTerm)",.,,,,SubDeclension,,Subtype,,Subtype,
text (4),Case,,,,,Case,Case,Case,Case,Case,
int,Number,,,,,Number,,Number,Number,Number,
text (4),Gender,,,,,Gender,,Gender,Gender,Gender,
int,,,,,,,,Person,,Person,
text (2),,,,,,,,,,Tense,
text (1),,,,,,,,,,Voice,
text (1),,,,,,,,,,Mood,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,